pdf_page	printed_page	part	chapter	section	scan_classification	source_image	mapping_confidence
318	304	body	IV	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-318.png	high
319	305	body	IV	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-319.png	high
320	306	body	IV	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-320.png	high
321	307	body	IV	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-321.png	high
322	308	body	IV	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-322.png	high
323	309	body	IV	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-323.png	high
324	310	body	IV	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-324.png	high
325	311	body	IV	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-325.png	high
326	312	body	IV	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-326.png	high
327	313	body	IV	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-327.png	high
328	314	body	IV	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-328.png	high
329	315	body	IV	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-329.png	high
330	316	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-330.png	high
331	317	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-331.png	high
332	318	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-332.png	high
333	319	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-333.png	high
334	320	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-334.png	high
335	321	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-335.png	high
336	322	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-336.png	high
337	323	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-337.png	high
338	324	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-338.png	high
339	325	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-339.png	high
340	326	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-340.png	high
341	327	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-341.png	high
342	328	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-342.png	high
343	329	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-343.png	high
344	330	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-344.png	high
345	331	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-345.png	high
346	332	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-346.png	high
347	333	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-347.png	high
348	334	body	IV	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-348.png	high
349	335	body	IV	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-349.png	high
350	336	body	IV	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-350.png	high
351	337	body	IV	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-351.png	high
352	338	body	IV	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-352.png	high
353	339	body	IV	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-353.png	high
354	340	body	IV	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-354.png	high
355	341	body	IV	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-355.png	high
356	342	body	IV	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-356.png	high
357	343	body	IV	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-357.png	high
358	344	body	IV	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-358.png	high
359	345	body	IV	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-359.png	high
360	346	body	IV	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-360.png	high
361	347	body	IV	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-361.png	high
362	348	body	IV	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-362.png	high
363	349	body	IV	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-363.png	high
364	350	body	IV	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-364.png	high
365	351	body	IV	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-365.png	high
366	352	body	IV	6	scan-good	workspace/pages/original/diagnostic-120dpi/page-366.png	high
367	353	body	IV	6	scan-good	workspace/pages/original/diagnostic-120dpi/page-367.png	high
368	354	body	IV	6	scan-good	workspace/pages/original/diagnostic-120dpi/page-368.png	high
369	355	body	IV	6	scan-medium	workspace/pages/original/diagnostic-120dpi/page-369.png	high
370	356	body	IV	6	scan-good	workspace/pages/original/diagnostic-120dpi/page-370.png	high
371	357	body	IV	6	scan-medium	workspace/pages/original/diagnostic-120dpi/page-371.png	high
372	358	body	IV	6	scan-good	workspace/pages/original/diagnostic-120dpi/page-372.png	high
373	359	body	IV	6	scan-medium	workspace/pages/original/diagnostic-120dpi/page-373.png	high
374	360	body	IV	6	scan-good	workspace/pages/original/diagnostic-120dpi/page-374.png	high
375	361	body	IV	6	scan-medium	workspace/pages/original/diagnostic-120dpi/page-375.png	high
376	362	body	IV	6	scan-good	workspace/pages/original/diagnostic-120dpi/page-376.png	high
377	363	body	IV	6	scan-good	workspace/pages/original/diagnostic-120dpi/page-377.png	high
378	364	body	IV	6	scan-medium	workspace/pages/original/diagnostic-120dpi/page-378.png	high
379	365	body	IV	6	scan-medium	workspace/pages/original/diagnostic-120dpi/page-379.png	high
380	366	body	IV	6	scan-medium	workspace/pages/original/diagnostic-120dpi/page-380.png	high
381	367	body	IV	6	scan-medium	workspace/pages/original/diagnostic-120dpi/page-381.png	high
382	368	back-matter		references	scan-medium	workspace/pages/original/diagnostic-120dpi/page-382.png	high
383	369	back-matter		references	scan-good	workspace/pages/original/diagnostic-120dpi/page-383.png	high
384	370	back-matter		references	scan-good	workspace/pages/original/diagnostic-120dpi/page-384.png	high
385	371	back-matter		references	scan-medium	workspace/pages/original/diagnostic-120dpi/page-385.png	high
386	372	back-matter		index-of-mathematical-symbols	scan-medium	workspace/pages/original/diagnostic-120dpi/page-386.png	high
387	373	back-matter		subject-index	scan-medium	workspace/pages/original/diagnostic-120dpi/page-387.png	high
388	374	back-matter		subject-index	scan-medium	workspace/pages/original/diagnostic-120dpi/page-388.png	high
389		publisher-and-library-material		unpaginated	scan-good	workspace/pages/original/diagnostic-120dpi/page-389.png	medium
390		publisher-and-library-material		unpaginated	scan-medium	workspace/pages/original/diagnostic-120dpi/page-390.png	medium
391		publisher-and-library-material		unpaginated	problematic	workspace/pages/original/diagnostic-120dpi/page-391.png	medium
392		publisher-and-library-material		unpaginated	problematic	workspace/pages/original/diagnostic-120dpi/page-392.png	medium
393		publisher-and-library-material		unpaginated	problematic	workspace/pages/original/diagnostic-120dpi/page-393.png	medium
394		publisher-and-library-material		unpaginated	problematic	workspace/pages/original/diagnostic-120dpi/page-394.png	medium
395		publisher-and-library-material		unpaginated	problematic	workspace/pages/original/diagnostic-120dpi/page-395.png	medium
396		publisher-and-library-material		unpaginated	problematic	workspace/pages/original/diagnostic-120dpi/page-396.png	medium
397		publisher-and-library-material		unpaginated	problematic	workspace/pages/original/diagnostic-120dpi/page-397.png	medium
398		publisher-and-library-material		unpaginated	scan-poor	workspace/pages/original/diagnostic-120dpi/page-398.png	medium
399		publisher-and-library-material		unpaginated	scan-poor	workspace/pages/original/diagnostic-120dpi/page-399.png	medium
400		publisher-and-library-material		unpaginated	scan-poor	workspace/pages/original/diagnostic-120dpi/page-400.png	medium
